Serial number,Time,Status,EacToday(kWh),EacTotal(kWh),Vpv1(V),Vpv2(V),Vpv3(V),Vpv4(V),Vpv5(V),Vpv6(V),Vpv7(V),Vpv8(V),Vpv9(V),Vpv10(V),Vpv11(V),Vpv12(V),Vpv13(V),Vpv14(V),Vpv15(V),Vpv16(V),Ipv1(A),Ipv2(A),Ipv3(A),Ipv4(A),Ipv5(A),Ipv6(A),Ipv7(A),Ipv8(A),Ipv9(A),Ipv10(A),Ipv11(A),Ipv12(A),Ipv13(A),Ipv14(A),Ipv15(A),Ipv16(A),Ppv1(W),Ppv2(W),Ppv3(W),Ppv4(W),Ppv5(W),Ppv6(W),Ppv7(W),Ppv8(W),Ppv9(W),Ppv10(W),Ppv11(W),Ppv12(W),Ppv13(W),Ppv14(W),Ppv15(W),Ppv16(W),Ppv(W),EpvToday(kWh),EpvTotal(kWh),TimeTotal(H),VacRS(V),VacST(V),VacTR(V),IacR(A),IacS(A),IacT(A),PacR(VA),PacS(VA),PacT(VA),VacR(V),VacS(V),VacT(V),Fac(Hz),Pac(W),PF,+BUS(V),-BUS(V),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),Vstr1(V),Vstr2(V),Vstr3(V),Vstr4(V),Vstr5(V),Vstr6(V),Vstr7(V),Vstr8(V),Vstr9(V),Vstr10(V),Vstr11(V),Vstr12(V),Vstr13(V),Vstr14(V),Vstr15(V),Vstr16(V),Vstr17(V),Vstr18(V),Vstr19(V),Vstr20(V),Vstr21(V),Vstr22(V),Vstr23(V),Vstr24(V),Vstr25(V),Vstr26(V),Vstr27(V),Vstr28(V),Vstr29(V),Vstr30(V),Vstr31(V),Vstr32(V),Istr1(A),Istr2(A),Istr3(A),Istr4(A),Istr5(A),Istr6(A),Istr7(A),Istr8(A),Istr9(A),Istr10(A),Istr11(A),Istr12(A),Istr13(A),Istr14(A),Istr15(A),Istr16(A),Istr17(A),Istr18(A),Istr19(A),Istr20(A),Istr21(A),Istr22(A),Istr23(A),Istr24(A),Istr25(A),Istr26(A),Istr27(A),Istr28(A),Istr29(A),Istr30(A),Istr31(A),Istr32(A),PIDStatus,Vpid1(V),Vpid2(V),Vpid3(V),Vpid4(V),Vpid5(V),Vpid6(V),Vpid7(V),Vpid8(V),Vpid9(V),Vpid10(V),Vpid11(V),Vpid12(V),Vpid13(V),Vpid14(V),Vpid15(V),Vpid(V),Ipid1(mA),Ipid2(mA),Ipid3(mA),Ipid4(mA),Ipid5(mA),Ipid6(mA),Ipid7(mA),Ipid8(mA),Ipid9(mA),Ipid10(mA),Ipid11(mA),Ipid12(mA),Ipid13(mA),Ipid14(mA),Ipid15(mA),Ipid16(mA),PidFaultCode,FaultCode,FaultBit,Subcode(fault/warn),WarnCode,WarnBit,StrUnmatch,StrUnblance,StrBreak,WarnValue1,WarnValue2,WarnValue3,FaultValue,DerateMode,PV ISO(KΩ),R_DCI(mA),S_DCI(mA),T_DCI(mA),PID_BUS(V),GFCI(mA),SVG/APF Status,CT_I_R(A),CT_I_S(A),CT_I_T(A),CT_Q_R(Var),CT_Q_S(Var),CT_Q_T(Var),CT_HAR_I_R(A),CT_HAR_I_S(A),CT_HAR_I_T(A),COMP_Q_R(Var),COMP_Q_S(Var),COMP_Q_T(Var),COMP_HAR_I_R(A),COMP_HAR_I_S(A),COMP_HAR_I_T(A),Debug1,Debug2,Debug3,ReactPower(Var),ReactPowerMax(Var),ReactPower_Total(kWh),isAgain,AfciStatus,StrengthPv1,StrengthPv2
GKLKE8L016,2025-04-04 00:00:18,Waiting,647.7,11540.3,55.4,55.4,55.2,55.1,55.3,55.5,55.1,55.2,55.8,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,575.3,10240.4,235.9,388.3,384.4,378.6,0,0,0,0,0,0,222.3,223.2,219.1,49.9,0,1,0,0,30.8,40.7,31,0,31.9,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.2,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，91,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:02:19,Waiting,647.7,11540.3,55.4,55.4,55.2,55.2,55.3,55.5,55.1,55.2,55.8,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,575.3,10240.4,235.9,388.4,384.6,378.6,0,0,0,0,0,0,222.2,223.4,219.2,50,0,1,0,0,30.8,40.7,31,0,31.9,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.3,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，89,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:04:34,Waiting,647.7,11540.3,55.4,55.4,55.2,55.2,55.3,55.5,55.1,55.2,55.8,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,575.3,10240.4,235.9,388.4,384.6,378.8,0,0,0,0,0,0,222.4,223.3,219.3,49.9,0,1,0,0,30.8,40.7,31,0,31.9,55.4,55.4,55.4,55.4,55.3,55.3,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.4,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.4,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，93,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:06:38,Waiting,0,11540.3,55.4,55.4,55.2,55.2,55.3,55.4,55,55.2,55.8,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,388.4,384.9,378.8,0,0,0,0,0,0,222.3,223.4,219.4,50,0,1,0,0,30.8,40.7,30.9,0,31.9,55.4,55.4,55.4,55.4,55.2,55.2,55.1,55.1,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.4,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.3,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，66,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:08:41,Waiting,0,11540.3,55.4,55.4,55.2,55.1,55.2,55.4,55,55.2,55.8,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,388.6,384.8,379,0,0,0,0,0,0,222.5,223.4,219.4,50,0,1,0,0,30.7,40.6,30.9,0,31.9,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55,55,55.2,55.2,55.8,55.8,55.6,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.3,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，1,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:11:46,Waiting,0,11540.3,55.4,55.4,55.2,55.2,55.3,55.5,55,55.2,55.8,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,389,385.6,379.4,0,0,0,0,0,0,222.6,223.8,219.8,50,0,1,0,0,30.7,40.6,30.9,0,31.9,55.4,55.4,55.4,55.4,55.2,55.2,55.1,55.1,55.3,55.3,55.4,55.4,55,55,55.2,55.2,55.8,55.8,55.4,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.2,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，81,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:14:03,Waiting,0,11540.3,55.4,55.4,55.2,55.1,55.3,55.4,55.1,55.2,55.8,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,388.9,385.6,379.4,0,0,0,0,0,0,222.6,223.8,219.8,50,0,1,0,0,30.7,40.6,30.9,0,31.8,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55,55,55.2,55.2,55.8,55.8,55.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.3,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，61,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:16:08,Waiting,0,11540.3,55.4,55.4,55.2,55.2,55.3,55.5,55.1,55.2,55.8,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,388.9,385.4,379.4,0,0,0,0,0,0,222.6,223.7,219.7,50,0,1,0,0,30.7,40.6,30.8,0,31.8,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.3,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.2,12,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，72,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:18:09,Waiting,0,11540.3,55.5,55.4,55.3,55.2,55.3,55.5,55,55.2,55.8,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,388.9,385.1,379.1,0,0,0,0,0,0,222.6,223.6,219.5,50,0,1,0,0,30.6,40.6,30.8,0,31.8,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.2,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，69,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
GKLKE8L016,2025-04-04 00:20:12,Waiting,0,11540.3,55.4,55.4,55.2,55.1,55.3,55.5,55.1,55.2,55.8,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,10240.4,235.9,389.6,384.3,379.9,0,0,0,0,0,0,223.3,223.4,219.4,50,0,1,0,0,30.6,40.6,30.8,0,31.8,55.4,55.4,55.4,55.4,55.2,55.2,55.2,55.2,55.3,55.3,55.5,55.5,55.1,55.1,55.2,55.2,55.8,55.8,55.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,659.1,13,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，0，22，0，0，100，1，4,0，0，0，0，0，0，0，0,0,60546.8,92.7,FALSE,0,0,0
